
 IP LIN 

# Theta axis in degrees: 
XA 0.0 5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0 65.0 70.0 75.0 80.0 85.0 90.0 90.0001 180.0 
# Energy axis in keV: 
YA 50.0 60.0 80.0 100.0 150.0 200.0 300.0 400.0 500.0 600.0 800.0 1000.0 1022.0 1250.0 1500.0 2000.0 2044.0 3000.0 4000.0 5000.0 6000.0 7000.0 8000.0 9000.0 10000.0 

AP 0 0 0.0316503997741
AP 0 1 0.0438409932022
AP 0 2 0.0618592758764
AP 0 3 0.0754175747813
AP 0 4 0.102725880289
AP 0 5 0.126085502174
AP 0 6 0.166346664877
AP 0 7 0.201043026505
AP 0 8 0.231425755452
AP 0 9 0.258380368497
AP 0 10 0.304709062208
AP 0 11 0.34364459621
AP 0 12 0.347416577898
AP 0 13 0.384637323149
AP 0 14 0.419246074416
AP 0 15 0.473770939732
AP 0 16 0.478006907361
AP 0 17 0.548032505785
AP 0 18 0.596340784787
AP 0 19 0.630112977341
AP 0 20 0.654819191066
AP 0 21 0.673671304319
AP 0 22 0.688425815852
AP 0 23 0.700202991965
AP 0 24 0.709793472835
AP 1 0 0.0312366030464
AP 1 1 0.0433215789213
AP 1 2 0.0612066480807
AP 1 3 0.0746782876592
AP 1 4 0.101838772325
AP 1 5 0.125094316815
AP 1 6 0.165213374875
AP 1 7 0.199817576356
AP 1 8 0.230138520185
AP 1 9 0.257051118835
AP 1 10 0.303332076735
AP 1 11 0.342248477826
AP 1 12 0.346019531235
AP 1 13 0.383239229789
AP 1 14 0.41785937175
AP 1 15 0.472423980627
AP 1 16 0.476664075528
AP 1 17 0.54677776993
AP 1 18 0.595167037273
AP 1 19 0.62900480259
AP 1 20 0.65376338732
AP 1 21 0.672657864875
AP 1 22 0.687446941445
AP 1 23 0.699252575963
AP 1 24 0.708866790978
AP 2 0 0.0300122143125
AP 2 1 0.0417808349896
AP 2 2 0.0592656351263
AP 2 3 0.0724761926365
AP 2 4 0.0991900955887
AP 2 5 0.122130234699
AP 2 6 0.16181712013
AP 2 7 0.196139788984
AP 2 8 0.226271126853
AP 2 9 0.253054115395
AP 2 10 0.299186283646
AP 2 11 0.338041193877
AP 2 12 0.341809096645
AP 2 13 0.379022343426
AP 2 14 0.413674070837
AP 2 15 0.46835480949
AP 2 16 0.47260709527
AP 2 17 0.54298295949
AP 2 18 0.591614860262
AP 2 19 0.62564965091
AP 2 20 0.650565850364
AP 2 21 0.6695879595
AP 2 22 0.684481246118
AP 2 23 0.696372725319
AP 2 24 0.706058563201
AP 3 0 0.0280286950948
AP 3 1 0.0392720824142
