
 IP LIN 

# Theta axis in degrees: 
XA 0.0 5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0 65.0 70.0 75.0 80.0 85.0 90.0 90.0001 180.0 
# Energy axis in keV: 
YA 50.0 60.0 80.0 100.0 150.0 200.0 300.0 400.0 500.0 600.0 800.0 1000.0 1022.0 1250.0 1500.0 2000.0 2044.0 3000.0 4000.0 5000.0 6000.0 7000.0 8000.0 9000.0 10000.0 

AP 0 0 0.186206128449
AP 0 1 0.218210609493
AP 0 2 0.258025975436
AP 0 3 0.284158506649
AP 0 4 0.330287350082
AP 0 5 0.364929875585
AP 0 6 0.41763273594
AP 0 7 0.457978876906
AP 0 8 0.490455472282
AP 0 9 0.517477660127
AP 0 10 0.560736240103
AP 0 11 0.594539911581
AP 0 12 0.597707785269
AP 0 13 0.628066496875
AP 0 14 0.654968286402
AP 0 15 0.695134325675
AP 0 16 0.698152920908
AP 0 17 0.746195368348
AP 0 18 0.777521008355
AP 0 19 0.79865302866
AP 0 20 0.813746337043
AP 0 21 0.825067694408
AP 0 22 0.833815325844
AP 0 23 0.840728930893
AP 0 24 0.846314903849
AP 1 0 0.185017138373
AP 1 1 0.216948352438
AP 1 2 0.256697306528
AP 1 3 0.282799223651
AP 1 4 0.32889590448
AP 1 5 0.363530642785
AP 1 6 0.416245357846
AP 1 7 0.456617917773
AP 1 8 0.489125694319
AP 1 9 0.516180106777
AP 1 10 0.559501375858
AP 1 11 0.593362958037
AP 1 12 0.59653664144
AP 1 13 0.626954232224
AP 1 14 0.653912889509
AP 1 15 0.694171641072
AP 1 16 0.697197568645
AP 1 17 0.745363286537
AP 1 18 0.776775720694
AP 1 19 0.797969028493
AP 1 20 0.813107422528
AP 1 21 0.824463301729
AP 1 22 0.833238014147
AP 1 23 0.840173270776
AP 1 24 0.845776896353
AP 2 0 0.181450909463
AP 2 1 0.213157754326
AP 2 2 0.252702131905
AP 2 3 0.278708965362
AP 2 4 0.324704022599
AP 2 5 0.359312068963
AP 2 6 0.412058186109
AP 2 7 0.452507566981
AP 2 8 0.485107400656
AP 2 9 0.512257571686
AP 2 10 0.555766046359
AP 2 11 0.589801199209
AP 2 12 0.592992319441
AP 2 13 0.623586818034
AP 2 14 0.650716613352
AP 2 15 0.691254809763
AP 2 16 0.694302857072
AP 2 17 0.742840792799
AP 2 18 0.774515632529
AP 2 19 0.795894366999
AP 2 20 0.811169232553
AP 2 21 0.822629641163
AP 2 22 0.831486372167
AP 2 23 0.838487215525
AP 2 24 0.844144321775
AP 3 0 0.175511285967
AP 3 1 0.206828744128
AP 3 2 0.246014019366
AP 3 3 0.271851324916
AP 3 4 0.317659422089
AP 3 5 0.352211524804
AP 3 6 0.404995583967
AP 3 7 0.445564513286
AP 3 8 0.478312554009
AP 3 9 0.505619072255
AP 3 10 0.549436412537
AP 3 11 0.583760144855
AP 3 12 0.586980338594
AP 3 13 0.617870474558
AP 3 14 0.645287215343
AP 3 15 0.686295468103
AP 3 16 0.689380790042
AP 3 17 0.738547153284
AP 3 18 0.77066616228
AP 3 19 0.792359236147
AP 3 20 0.807865673132
AP 3 21 0.819503570108
AP 3 22 0.828499634432
AP 3 23 0.835611937818
AP 3 24 0.841359956962
AP 4 0 0.167210310822
AP 4 1 0.197949487086
AP 4 2 0.236592733059
AP 4 3 0.262168592003
AP 4 4 0.307676328738
AP 4 5 0.342124760748
AP 4 6 0.394929807332
AP 4 7 0.435646936187
AP 4 8 0.468590516395
AP 4 9 0.496108355323
AP 4 10 0.540350494293
AP 4 11 0.575076130249
AP 4 12 0.578337001387
AP 4 13 0.609642273074
AP 4 14 0.637464080376
AP 4 15 0.679139288475
AP 4 16 0.682277648731
AP 4 17 0.732340880841
AP 4 18 0.765096353922
AP 4 19 0.787240911638
AP 4 20 0.803080451443
AP 4 21 0.814973920303
AP 4 22 0.824170767892
AP 4 23 0.831443780827
AP 4 24 0.837322942441
AP 5 0 0.156577862626
AP 5 1 0.186515090047
AP 5 2 0.224391260069
AP 5 3 0.249587467646
AP 5 4 0.29463864417
AP 5 5 0.328907076197
AP 5 6 0.381679166981
AP 5 7 0.422550498898
AP 5 8 0.455722432297
AP 5 9 0.483497056906
AP 5 10 0.52826962939
AP 5 11 0.563506695146
AP 5 12 0.566819683308
AP 5 13 0.598659682092
AP 5 14 0.627007282266
AP 5 15 0.669554639163
AP 5 16 0.672762637474
AP 5 17 0.724008473218
AP 5 18 0.757608005155
AP 5 19 0.780353295942
AP 5 20 0.796636991467
AP 5 21 0.80887173518
AP 5 22 0.818336982858
AP 5 23 0.825825000891
AP 5 24 0.831879722379
AP 6 0 0.143676918546
AP 6 1 0.172541775357
AP 6 2 0.209367690831
AP 6 3 0.234029038029
AP 6 4 0.278406065328
AP 6 5 0.312376318164
AP 6 6 0.365006210214
AP 6 7 0.406002974707
AP 6 8 0.439413172757
AP 6 9 0.467474580255
AP 6 10 0.512865430327
AP 6 11 0.548715643789
AP 6 12 0.552091734149
AP 6 13 0.584584124537
AP 6 14 0.613580231384
AP 6 15 0.65721440207
AP 6 16 0.660509665797
AP 6 17 0.713246154745
AP 6 18 0.747917938109
AP 6 19 0.771429803824
AP 6 20 0.788281888979
AP 6 21 0.800954224425
AP 6 22 0.810764116525
AP 6 23 0.818528516783
AP 6 24 0.824809106706
AP 7 0 0.128627220806
AP 7 1 0.15608976719
AP 7 2 0.191505487037
AP 7 3 0.215426574678
AP 7 4 0.258826526694
AP 7 5 0.292320756539
AP 7 6 0.344618262995
AP 7 7 0.385659188679
AP 7 8 0.419281949344
AP 7 9 0.447635311524
AP 7 10 0.493702079316
AP 7 11 0.530252044776
AP 7 12 0.533701197123
AP 7 13 0.566957272165
AP 7 14 0.596724250521
AP 7 15 0.641668807213
AP 7 16 0.64507009429
AP 7 17 0.699632058719
AP 7 18 0.735630716798
AP 7 19 0.760096865316
AP 7 20 0.777659191754
AP 7 21 0.790879747892
AP 7 22 0.801122232536
AP 7 23 0.809234040667
AP 7 24 0.815798860543
AP 8 0 0.111640266271
AP 8 1 0.137298742737
AP 8 2 0.170846702414
AP 8 3 0.193755934903
AP 8 4 0.23575965614
AP 8 5 0.268516137546
AP 8 6 0.320173619691
AP 8 7 0.361098533112
AP 8 8 0.394852925607
AP 8 9 0.423463685652
AP 8 10 0.470213147398
AP 8 11 0.507521346881
AP 8 12 0.51105142996
AP 8 13 0.545167314703
AP 8 14 0.575821632142
AP 8 15 0.622304968697
AP 8 16 0.625832072405
AP 8 17 0.68258377169
AP 8 18 0.720196493985
AP 8 19 0.745832680782
AP 8 20 0.764270165395
AP 8 21 0.7781685431
AP 8 22 0.788947213276
AP 8 23 0.797490430043
AP 8 24 0.804408719576
AP 9 0 0.0930698265424
AP 9 1 0.116442094799
AP 9 2 0.147546254098
AP 9 3 0.16908743444
AP 9 4 0.209120649485
AP 9 5 0.240761075095
AP 9 6 0.291301263719
AP 9 7 0.331831373263
AP 9 8 0.365550607031
AP 9 9 0.39432047335
AP 9 10 0.44167390565
AP 9 11 0.479747666765
AP 9 12 0.483362506308
AP 9 13 0.518402415453
AP 9 14 0.550042995574
AP 9 15 0.598287088735
AP 9 16 0.601960309442
AP 9 17 0.661293413042
AP 9 18 0.700845464123
AP 9 19 0.727902440463
AP 9 20 0.747409680051
AP 9 21 0.762140338626
AP 9 22 0.773579532448
AP 9 23 0.782655509244
AP 9 24 0.790011145885
AP 10 0 0.0734807325628
AP 10 1 0.0940067533269
AP 10 2 0.121958148613
AP 10 3 0.141672162845
AP 10 4 0.178959756532
AP 10 5 0.208946436888
AP 10 6 0.257648641499
AP 10 7 0.297326695061
AP 10 8 0.330709949343
AP 10 9 0.359437865752
AP 10 10 0.407172446623
AP 10 11 0.445927011432
AP 10 12 0.449622823198
AP 10 13 0.485587562073
AP 10 14 0.518272386124
AP 10 15 0.568466968846
AP 10 16 0.572305654195
AP 10 17 0.634626000386
AP 10 18 0.67648302736
AP 10 19 0.705253398901
AP 10 20 0.726062317741
AP 10 21 0.741811864665
AP 10 22 0.754063230994
AP 10 23 0.763796444248
AP 10 24 0.771692991119
AP 11 0 0.0537355246148
AP 11 1 0.0708062264327
AP 11 2 0.0947708452387
AP 11 3 0.112085349716
AP 11 4 0.145607262387
AP 11 5 0.173191846369
AP 11 6 0.218991703958
AP 11 7 0.257093063372
AP 11 8 0.289629850199
AP 11 9 0.317948204686
AP 11 10 0.365596852176
AP 11 11 0.404781791087
AP 11 12 0.408540596683
AP 11 13 0.445307890757
AP 11 14 0.479007259977
AP 11 15 0.531253382537
AP 11 16 0.535272419995
AP 11 17 0.600960105336
AP 11 18 0.645520100745
AP 11 19 0.676341908949
AP 11 20 0.698729073782
AP 11 21 0.715724472796
AP 11 22 0.728974961859
AP 11 23 0.739520368993
AP 11 24 0.748087701373
AP 12 0 0.0350762362032
AP 12 1 0.0481174514354
AP 12 2 0.0672011509039
AP 12 3 0.0814484408261
AP 12 4 0.109924783922
AP 12 5 0.134101118031
AP 12 6 0.175468576407
AP 12 7 0.210875190736
AP 12 8 0.241729106878
AP 12 9 0.269000233899
AP 12 10 0.315679723263
AP 12 11 0.354745151494
AP 12 12 0.358522469125
AP 12 13 0.395732479659
AP 12 14 0.430234867377
AP 12 15 0.484422826435
AP 12 16 0.488624563407
AP 12 17 0.557930786063
AP 12 18 0.605587015768
AP 12 19 0.638834570735
AP 12 20 0.663123239014
AP 12 21 0.681638347219
AP 12 22 0.696118326573
AP 12 23 0.707669731678
AP 12 24 0.717072085394
AP 13 0 0.0191303612377
AP 13 1 0.0277879363737
AP 13 2 0.0412270762066
AP 13 3 0.0517368033341
AP 13 4 0.0737183046297
AP 13 5 0.093225633919
AP 13 6 0.128065478091
AP 13 7 0.159112131679
