
 IP LIN 

# Theta axis in degrees: 
XA 0.0 5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0 65.0 70.0 75.0 80.0 85.0 90.0 90.0001 180.0 
# Energy axis in keV: 
YA 50.0 60.0 80.0 100.0 150.0 200.0 300.0 400.0 500.0 600.0 800.0 1000.0 1022.0 1250.0 1500.0 2000.0 2044.0 3000.0 4000.0 5000.0 6000.0 7000.0 8000.0 9000.0 10000.0 

AP 0 0 0.107177683794
AP 0 1 0.132318861902
AP 0 2 0.165321096301
AP 0 3 0.18792886587
AP 0 4 0.229505707909
AP 0 5 0.262026770314
AP 0 6 0.31346035335
AP 0 7 0.354319285629
AP 0 8 0.388084707786
AP 0 9 0.41674712872
AP 0 10 0.46365761616
AP 0 11 0.501157136455
AP 0 12 0.504708040299
AP 0 13 0.53904821727
AP 0 14 0.569938284695
AP 0 15 0.616837032243
AP 0 16 0.620398381768
AP 0 17 0.677751083873
AP 0 18 0.715811544869
AP 0 19 0.741774230546
AP 0 20 0.760456834847
AP 0 21 0.774545542189
AP 0 22 0.785475047903
AP 0 23 0.794139793376
AP 0 24 0.801157763318
AP 1 0 0.106269364632
AP 1 1 0.13130287857
AP 1 2 0.164190988207
AP 1 3 0.186735407522
AP 1 4 0.228221979438
AP 1 5 0.260692761511
AP 1 6 0.312077576731
AP 1 7 0.352921023528
AP 1 8 0.386687313873
AP 1 9 0.415359307336
AP 1 10 0.462301467985
AP 1 11 0.499839434204
AP 1 12 0.503394546426
AP 1 13 0.537780244018
AP 1 14 0.568718411357
AP 1 15 0.61570230031
AP 1 16 0.619270684943
AP 1 17 0.676747137503
AP 1 18 0.714900062042
AP 1 19 0.740930283708
AP 1 20 0.759663642256
AP 1 21 0.77379178633
AP 1 22 0.784752561173
AP 1 23 0.793442509803
AP 1 24 0.80048115797
AP 2 0 0.103556493712
AP 2 1 0.128263536795
AP 2 2 0.160804455502
AP 2 3 0.183155515347
AP 2 4 0.224365398643
AP 2 5 0.256681046954
AP 2 6 0.307913474758
AP 2 7 0.348706322143
AP 2 8 0.382472281802
AP 2 9 0.41117085608
AP 2 10 0.458205249318
AP 2 11 0.495856960224
AP 2 12 0.499424575876
AP 2 13 0.533945917213
AP 2 14 0.565027956856
AP 2 15 0.612267333966
AP 2 16 0.615856863558
AP 2 17 0.673705872413
AP 2 18 0.712137737114
AP 2 19 0.73837193122
AP 2 20 0.75725868679
AP 2 21 0.771506080067
AP 2 22 0.782561439948
AP 2 23 0.791327644957
AP 2 24 0.798428871388
AP 3 0 0.0990770543953
AP 3 1 0.123228463782
AP 3 2 0.155174631178
AP 3 3 0.17719229557
AP 3 4 0.217921150598
AP 3 5 0.249963648908
AP 3 6 0.300921311291
AP 3 7 0.341615596862
AP 3 8 0.375370879177
AP 3 9 0.404106352468
AP 3 10 0.451284751632
AP 3 11 0.48912042538
AP 3 12 0.4927084479
AP 3 13 0.527452565383
AP 3 14 0.558772787752
AP 3 15 0.606437983994
AP 3 16 0.610062874906
AP 3 17 0.668537030526
AP 3 18 0.707438949182
AP 3 19 0.734017673532
AP 3 20 0.753163910188
AP 3 21 0.767613221435
AP 3 22 0.778828851849
AP 3 23 0.787724340071
AP 3 24 0.794931704711
AP 4 0 0.092900152677
AP 4 1 0.116249825474
AP 4 2 0.147329428521
AP 4 3 0.168856636193
AP 4 4 0.208869313764
AP 4 5 0.240497750841
AP 4 6 0.291025277799
AP 4 7 0.331550178778
AP 4 8 0.365268004366
AP 4 9 0.394038569882
AP 4 10 0.441396616856
AP 4 11 0.479476942902
AP 4 12 0.483092529475
AP 4 13 0.518140734307
AP 4 14 0.549790374095
AP 4 15 0.598050949689
AP 4 16 0.601725551034
AP 4 17 0.661083273092
AP 4 18 0.700654033823
AP 4 19 0.727724804053
AP 4 20 0.747242470109
AP 4 21 0.761981262115
AP 4 22 0.773426923251
AP 4 23 0.782508123917
AP 4 24 0.78986805367
AP 5 0 0.0851349940312
AP 5 1 0.107414013427
AP 5 2 0.137321300468
AP 5 3 0.158176590011
AP 5 4 0.197192906554
AP 5 5 0.228232291775
AP 5 6 0.278124365561
AP 5 7 0.318373847961
AP 5 8 0.352001770382
AP 5 9 0.380786441416
AP 5 10 0.428333797591
AP 5 11 0.466703679263
AP 5 12 0.470352725556
AP 5 13 0.505776231504
AP 5 14 0.537840715405
AP 5 15 0.586863375744
AP 5 16 0.590602114119
AP 5 17 0.651108788634
AP 5 18 0.691557732649
AP 5 19 0.719277965009
AP 5 20 0.739287483364
AP 5 21 0.754410454539
AP 5 22 0.766161882084
AP 5 23 0.775490234289
AP 5 24 0.783053390159
AP 6 0 0.0759432420309
AP 6 1 0.0968554166123
AP 6 2 0.125241509873
AP 6 3 0.145211287984
AP 6 4 0.182890044663
AP 6 5 0.213118026306
AP 6 6 0.262098297301
AP 6 7 0.301915100209
AP 6 8 0.335362658456
AP 6 9 0.364111592108
AP 6 10 0.411817982611
AP 6 11 0.450497270306
AP 6 12 0.454183626265
AP 6 13 0.490036838744
AP 6 14 0.522591149457
AP 6 15 0.572535365673
AP 6 16 0.57635254733
AP 6 17 0.638280040506
AP 6 18 0.679829608644
AP 6 19 0.708369700334
AP 6 20 0.729002867549
AP 6 21 0.744614418829
AP 6 22 0.756755541906
AP 6 23 0.766399394172
AP 6 24 0.774222301616
AP 7 0 0.0655600139914
AP 7 1 0.0847810095344
AP 7 2 0.111247264585
AP 7 3 0.130078635377
AP 7 4 0.166000681714
AP 7 5 0.195132119287
AP 7 6 0.242826976273
AP 7 7 0.28198150673
AP 7 8 0.315103296172
AP 7 9 0.343724104014
AP 7 10 0.391498803586
AP 7 11 0.430467997091
AP 7 12 0.434192222604
AP 7 13 0.470501767218
AP 7 14 0.503602325137
AP 7 15 0.554611454099
AP 7 16 0.558520769046
AP 7 17 0.622143103808
AP 7 18 0.665029934685
AP 7 19 0.694575908472
