
 IP LIN 

# Theta axis in degrees: 
XA 0.0 5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0 65.0 70.0 75.0 80.0 85.0 90.0 90.0001 180.0 
# Energy axis in keV: 
YA 50.0 60.0 80.0 100.0 150.0 200.0 300.0 400.0 500.0 600.0 800.0 1000.0 1022.0 1250.0 1500.0 2000.0 2044.0 3000.0 4000.0 5000.0 6000.0 7000.0 8000.0 9000.0 10000.0 

AP 0 0 0.0758447465561
AP 0 1 0.096741644922
AP 0 2 0.125110582782
AP 0 3 0.145070289682
AP 0 4 0.182733683294
AP 0 5 0.212952220366
AP 0 6 0.261921663063
AP 0 7 0.301733115858
AP 0 8 0.335178242438
AP 0 9 0.363926436384
AP 0 10 0.411634082513
AP 0 11 0.450316449698
AP 0 12 0.454003188789
AP 0 13 0.489860895537
AP 0 14 0.52242043465
AP 0 15 0.572374637522
AP 0 16 0.576192675232
AP 0 17 0.638135778383
AP 0 18 0.679697536168
AP 0 19 0.708246746862
AP 0 20 0.728886868789
AP 0 21 0.744503878096
AP 0 22 0.756649360023
AP 0 23 0.766296744571
AP 0 24 0.774122562268
AP 1 0 0.0751029108496
AP 1 1 0.0958843044161
AP 1 2 0.124123418872
AP 1 3 0.144006851733
AP 1 4 0.181553787229
AP 1 5 0.211700643238
AP 1 6 0.260587754154
AP 1 7 0.300358384632
AP 1 8 0.333784826377
AP 1 9 0.36252718302
AP 1 10 0.410243948965
AP 1 11 0.448949329845
AP 1 12 0.452638941671
AP 1 13 0.488530410506
AP 1 14 0.521129307709
AP 1 15 0.571158800887
AP 1 16 0.574983296915
AP 1 17 0.637044243908
AP 1 18 0.678698096562
AP 1 19 0.707316231454
AP 1 20 0.728008932447
AP 1 21 0.743667212565
AP 1 22 0.755845657899
AP 1 23 0.765519757436
AP 1 24 0.773367587208
AP 2 0 0.0728931462779
AP 2 1 0.0933257047557
AP 2 2 0.121171562421
AP 2 3 0.140823302814
AP 2 4 0.178015340191
AP 2 5 0.207942814763
AP 2 6 0.256576354358
AP 2 7 0.296219725214
AP 2 8 0.329586526095
AP 2 9 0.358308628294
AP 2 10 0.406048919349
AP 2 11 0.444820899707
AP 2 12 0.448518928385
AP 2 13 0.484510009511
AP 2 14 0.517225906448
AP 2 15 0.567480439099
AP 2 16 0.5713242869
AP 2 17 0.633739179623
AP 2 18 0.675670417976
AP 2 19 0.704496457949
AP 2 20 0.725347903211
AP 2 21 0.741130861774
AP 2 22 0.753408932338
AP 2 23 0.763163798818
AP 2 24 0.771078194045
AP 3 0 0.0692640794967
AP 3 1 0.0891077298817
AP 3 2 0.116285670099
AP 3 3 0.135541696092
AP 3 4 0.172123701278
AP 3 5 0.201670889252
AP 3 6 0.249859475885
AP 3 7 0.289274381376
AP 3 8 0.322529483405
AP 3 9 0.351208390995
AP 3 10 0.398974634981
AP 3 11 0.437849118646
AP 3 12 0.441560471872
AP 3 13 0.477711696792
AP 3 14 0.510618773298
AP 3 15 0.561245301083
AP 3 16 0.565121305255
AP 3 17 0.628127251167
AP 3 18 0.670524395318
AP 3 19 0.699700709677
AP 3 20 0.720820100905
AP 3 21 0.736813767556
AP 3 22 0.749260356337
AP 3 23 0.759151933078
AP 3 24 0.767179058552
AP 4 0 0.0643014617226
AP 4 1 0.0833056994583
AP 4 2 0.10952287489
AP 4 3 0.128204896243
