energy[eV]	flux[erg/cm^2/s]
1.65933e-6	3.73222e-15
2.09325e-6	4.93883e-15
2.64094e-6	6.50044e-15
3.33230e-6	8.50984e-15
4.33002e-6	1.13524e-14
6.70038e-6	1.82869e-14
1.03756e-5	2.84897e-14
1.38984e-5	3.68966e-14
1.75663e-5	4.46005e-14
2.72583e-5	6.29611e-14
5.35923e-5	9.56135e-14
1.14562e-4	1.27900e-13
2.50468e-4	1.29845e-13
4.82677e-4	1.24246e-13
9.28418e-4	1.29972e-13
1.78004e-3	1.58408e-13
3.30972e-3	2.01567e-13
5.97373e-3	2.55758e-13
1.07818e-2	3.24867e-13
1.94610e-2	4.11319e-13
3.51244e-2	5.22464e-13
6.33978e-2	6.62213e-13
1.14430e-1	8.39341e-13
2.06549e-1	1.06156e-12
3.72852e-1	1.33828e-12
6.72948e-1	1.69990e-12
1.21461e+0	2.15691e-12
2.19235e+0	2.73089e-12
3.95699e+0	3.46509e-12
7.14232e+0	4.38720e-12
1.28915e+1	5.56069e-12
2.32701e+1	7.02532e-12
4.20032e+1	8.88528e-12
7.58187e+1	1.12256e-11
1.36864e+2	1.41518e-11
2.47050e+2	1.78792e-11
4.45982e+2	2.24912e-11
8.05304e+2	2.79597e-11
1.05655e+4	6.09377e-11
2.16212e+4	6.79299e-11
4.27470e+4	6.63437e-11
1.68797e+5	5.57383e-11
4.02052e+5	4.53240e-11
7.76862e+5	3.82219e-11
1.50195e+6	3.13607e-11
2.82003e+6	2.51309e-11
4.98997e+6	1.98964e-11
8.32042e+6	1.56390e-11
1.30710e+7	1.23173e-11
1.93464e+7	9.71297e-12
2.77931e+7	7.67699e-12
3.87686e+7	5.97694e-12
5.24843e+7	4.68522e-12
7.10847e+7	3.59437e-12
9.34482e+7	2.76345e-12
1.19199e+8	2.16273e-12
1.52097e+8	1.66545e-12
1.94185e+8	1.24843e-12
2.40473e+8	9.68312e-13
2.88954e+8	7.63966e-13
3.56005e+8	5.69494e-13
4.61133e+8	4.38517e-13
5.84380e+8	3.39906e-13
7.28124e+8	2.55827e-13
1.00165e+9	1.89970e-13
1.88389e+9	1.43369e-13
3.64453e+9	1.56251e-13
6.98559e+9	1.93065e-13
1.33818e+10	2.45186e-13
2.48856e+10	3.09492e-13
4.62869e+10	3.87388e-13
8.86848e+10	4.87652e-13
1.69950e+11	6.08478e-13
3.25742e+11	7.52578e-13
6.24554e+11	9.16331e-13
1.18344e+12	1.09186e-12
2.29861e+12	1.28598e-12
9.99307e+12	1.66879e-12
1.94885e+13	1.74107e-12
4.06636e+13	1.69437e-12
6.83109e+13	1.46610e-12
