IP LIN
PA -1.5 1.5 4.5 7.5 10.5 13.5 16.5 19.5 22.5 25.5 28.5 31.5 34.5 37.5 40.5 43.5 46.5 49.5 52.5 55.5 58.5 61.5 64.5 67.5 70.5 73.5 76.5 79.5 82.5 85.5 88.5 91.5 94.5 97.5 100.5 103.5 106.5 109.5 112.5 115.5 118.5 121.5 124.5 127.5 130.5 133.5 136.5 139.5 142.5 145.5 148.5 151.5 154.5 157.5 160.5 163.5 166.5 169.5 172.5 175.5 178.5 181.5 184.5 187.5 190.5 193.5 196.5 199.5 202.5 205.5 208.5 211.5 214.5 217.5 220.5 223.5 226.5 229.5 232.5 235.5 238.5 241.5 244.5 247.5 250.5 253.5 256.5 259.5 262.5 265.5 268.5 271.5 274.5 277.5 280.5 283.5 286.5 289.5 292.5 295.5 298.5 301.5 304.5 307.5 310.5 313.5 316.5 319.5 322.5 325.5 328.5 331.5 334.5 337.5 340.5 343.5 346.5 349.5 352.5 355.5 358.5 361.5
TA 0.0 3.0 6.0 9.0 12.0 15.0 18.0 21.0 24.0 27.0 30.0 33.0 36.0 39.0 42.0 45.0 48.0 51.0 54.0 57.0 60.0 63.0 66.0 69.0 72.0 75.0 78.0 81.0 84.0 87.0 90.0 93.0 96.0 99.0 102.0 105.0 108.0 111.0 114.0 117.0 120.0 123.0 126.0 129.0 132.0 135.0 138.0 141.0 144.0 147.0 150.0 153.0 156.0 159.0 162.0 165.0 168.0 171.0 174.0 177.0 180.0
EA 1808.6290000000001 1808.63 1808.631
AP 0 0 1 0.0208967
AP 0 1 1 0.020992
AP 0 2 1 0.021143
AP 0 3 1 0.0213518
AP 0 4 1 0.0216214
AP 0 5 1 0.0219558
AP 0 6 1 0.0223602
AP 0 7 1 0.022841
AP 0 8 1 0.0234063
AP 0 9 1 0.0240663
AP 0 10 1 0.0248334
AP 0 11 1 0.0257234
AP 0 12 1 0.0267559
AP 0 13 1 0.0279559
AP 0 14 1 0.0293554
AP 0 15 1 0.0309958
AP 0 16 1 0.032932
AP 0 17 1 0.0352377
AP 0 18 1 0.0380142
AP 0 19 1 0.0414049
AP 0 20 1 0.0456187
AP 0 21 1 0.0509733
AP 0 22 1 0.0579746
AP 0 23 1 0.0674822
AP 0 24 1 0.0810809
AP 0 25 1 0.102046
AP 0 26 1 0.138349
AP 0 27 1 0.214627
AP 0 28 1 0.438549
AP 0 29 1 1.59561
AP 0 30 1 1.92142
AP 0 31 1 0.527529
AP 0 32 1 0.257767
AP 0 33 1 0.165957
AP 0 34 1 0.122289
AP 0 35 1 0.0970805
AP 0 36 1 0.080738
AP 0 37 1 0.0693368
AP 0 38 1 0.0609029
AP 0 39 1 0.0544596
AP 0 40 1 0.0493947
AP 0 41 1 0.0453244
AP 0 42 1 0.0419956
AP 0 43 1 0.039235
AP 0 44 1 0.03692
AP 0 45 1 0.0349614
AP 0 46 1 0.0332923
AP 0 47 1 0.0318412
AP 0 48 1 0.0305926
AP 0 49 1 0.0295164
AP 0 50 1 0.0285888
AP 0 51 1 0.0277907
AP 0 52 1 0.0271071
AP 0 53 1 0.0265257
AP 0 54 1 0.0260367
AP 0 55 1 0.0256323
AP 0 56 1 0.0253063
AP 0 57 1 0.0250538
AP 0 58 1 0.0248712
AP 0 59 1 0.0247559
AP 0 60 1 0.0208967
AP 1 0 1 0.0208967
AP 1 1 1 0.020992
AP 1 2 1 0.021143
AP 1 3 1 0.0213518
AP 1 4 1 0.0216214
AP 1 5 1 0.0219558
AP 1 6 1 0.0223602
AP 1 7 1 0.022841
AP 1 8 1 0.0234063
AP 1 9 1 0.0240663
AP 1 10 1 0.0248334
AP 1 11 1 0.0257234
AP 1 12 1 0.0267559
AP 1 13 1 0.0279559
AP 1 14 1 0.0293554
AP 1 15 1 0.0309958
AP 1 16 1 0.032932
AP 1 17 1 0.0352377
AP 1 18 1 0.0380142
AP 1 19 1 0.0414049
AP 1 20 1 0.0456187
AP 1 21 1 0.0509733
AP 1 22 1 0.0579746
AP 1 23 1 0.0674822
AP 1 24 1 0.0810809
AP 1 25 1 0.102046
AP 1 26 1 0.138349
AP 1 27 1 0.214627
AP 1 28 1 0.438549
AP 1 29 1 1.59561
AP 1 30 1 1.92142
AP 1 31 1 0.527529
AP 1 32 1 0.257767
AP 1 33 1 0.165957
AP 1 34 1 0.122289
AP 1 35 1 0.0970805
AP 1 36 1 0.080738
AP 1 37 1 0.0693368
AP 1 38 1 0.0609029
AP 1 39 1 0.0544596
AP 1 40 1 0.0493947
AP 1 41 1 0.0453244
AP 1 42 1 0.0419956
AP 1 43 1 0.039235
AP 1 44 1 0.03692
AP 1 45 1 0.0349614
AP 1 46 1 0.0332923
AP 1 47 1 0.0318412
AP 1 48 1 0.0305926
AP 1 49 1 0.0295164
AP 1 50 1 0.0285888
AP 1 51 1 0.0277907
AP 1 52 1 0.0271071
AP 1 53 1 0.0265257
AP 1 54 1 0.0260367
AP 1 55 1 0.0256323
AP 1 56 1 0.0253063
AP 1 57 1 0.0250538
AP 1 58 1 0.0248712
AP 1 59 1 0.0247559
AP 1 60 1 0.0208967
AP 2 0 1 0.0208966
AP 2 1 1 0.0209919
AP 2 2 1 0.0211427
AP 2 3 1 0.0213514
AP 2 4 1 0.0216209
AP 2 5 1 0.0219551
AP 2 6 1 0.0223593
AP 2 7 1 0.02284
AP 2 8 1 0.0234051
AP 2 9 1 0.0240648
AP 2 10 1 0.0248317
AP 2 11 1 0.0257214
AP 2 12 1 0.0267536
AP 2 13 1 0.0279532
AP 2 14 1 0.0293522
AP 2 15 1 0.030992
AP 2 16 1 0.0329275
AP 2 17 1 0.0352322
AP 2 18 1 0.0380075
AP 2 19 1 0.0413964
AP 2 20 1 0.045608
AP 2 21 1 0.0509591
AP 2 22 1 0.0579553
AP 2 23 1 0.0674542
AP 2 24 1 0.0810368
AP 2 25 1 0.101965
AP 2 26 1 0.138154
AP 2 27 1 0.213915
AP 2 28 1 0.434594
AP 2 29 1 1.56549
AP 2 30 1 1.885
AP 2 31 1 0.522747
AP 2 32 1 0.256907
AP 2 33 1 0.165721
AP 2 34 1 0.122191
AP 2 35 1 0.0970271
AP 2 36 1 0.0807041
AP 2 37 1 0.0693134
AP 2 38 1 0.0608858
AP 2 39 1 0.0544466
AP 2 40 1 0.0493845
AP 2 41 1 0.0453162
AP 2 42 1 0.0419889
AP 2 43 1 0.0392295
AP 2 44 1 0.0369154
AP 2 45 1 0.0349576
AP 2 46 1 0.033289
AP 2 47 1 0.0318384
AP 2 48 1 0.0305903
AP 2 49 1 0.0295144
AP 2 50 1 0.028587
AP 2 51 1 0.0277892
AP 2 52 1 0.0271058
AP 2 53 1 0.0265247
AP 2 54 1 0.0260359
AP 2 55 1 0.0256317
AP 2 56 1 0.0253058
AP 2 57 1 0.0250535
AP 2 58 1 0.024871
AP 2 59 1 0.0247558
AP 2 60 1 0.0208966
AP 3 0 1 0.0208965
AP 3 1 1 0.0209915
AP 3 2 1 0.0211422
AP 3 3 1 0.0213506
AP 3 4 1 0.0216198
AP 3 5 1 0.0219538
AP 3 6 1 0.0223577
AP 3 7 1 0.0228379
AP 3 8 1 0.0234027
AP 3 9 1 0.024062
AP 3 10 1 0.0248284
AP 3 11 1 0.0257175
AP 3 12 1 0.026749
AP 3 13 1 0.0279478
AP 3 14 1 0.0293458
AP 3 15 1 0.0309844
AP 3 16 1 0.0329184
AP 3 17 1 0.0352212
AP 3 18 1 0.037994
AP 3 19 1 0.0413796
AP 3 20 1 0.0455865
AP 3 21 1 0.0509309
AP 3 22 1 0.0579167
AP 3 23 1 0.0673985
