# From Kantzaz+21 (leptonic model, p=1.7)
energy[eV]	flux[erg/cm^2/s]
3.12255e+2	5.97392e-11
3.99085e+2	8.14889e-11
4.72781e+2	1.20646e-10
5.24691e+2	1.74634e-10
5.63591e+2	2.48270e-10
6.10415e+2	3.73542e-10
6.81208e+2	5.66959e-10
7.70521e+2	8.20454e-10
8.95512e+2	1.16393e-9
1.11412e+3	1.75402e-9
1.48291e+3	2.22694e-9
2.00071e+3	2.78199e-9
2.69920e+3	3.42058e-9
3.64147e+3	4.16341e-9
4.91223e+3	4.88071e-9
6.62613e+3	5.61510e-9
8.93712e+3	6.19488e-9
1.20558e+4	7.25168e-9
1.62643e+4	8.80103e-9
2.19393e+4	1.01840e-8
2.95900e+4	1.10744e-8
3.99022e+4	1.12681e-8
5.38077e+4	1.14156e-8
7.25538e+4	1.12355e-8
9.78204e+4	1.05739e-8
1.31872e+5	9.54285e-9
1.77748e+5	8.03520e-9
2.39546e+5	6.34895e-9
3.18401e+5	4.58137e-9
4.06257e+5	3.13706e-9
5.11369e+5	2.16733e-9
6.70564e+5	1.59492e-9
9.03957e+5	1.41670e-9
1.21883e+6	1.36643e-9
1.64338e+6	1.31986e-9
2.21583e+6	1.27671e-9
2.98766e+6	1.23141e-9
4.02757e+6	1.09698e-9
5.42896e+6	9.43907e-10
7.31789e+6	8.08683e-10
9.86197e+6	6.35292e-10
1.31076e+7	4.47752e-10
1.69554e+7	3.23464e-10
2.04900e+7	2.24255e-10
2.34531e+7	1.60100e-10
2.68447e+7	1.14299e-10
3.03126e+7	8.21858e-11
3.42248e+7	5.66127e-11
3.91671e+7	3.75671e-11
4.42213e+7	2.56524e-11
4.85940e+7	1.82750e-11
5.33933e+7	1.24459e-11
5.94643e+7	8.19999e-12
6.53378e+7	5.60672e-12
7.17909e+7	3.82343e-12
8.10522e+7	2.57576e-12
9.35273e+7	1.79556e-12
1.25054e+8	1.58412e-12
1.68604e+8	1.49299e-12
2.27353e+8	1.49084e-12
3.06573e+8	1.49084e-12
4.13396e+8	1.49084e-12
5.57442e+8	1.49084e-12
7.51669e+8	1.48225e-12
1.01342e+9	1.38893e-12
1.36627e+9	1.27911e-12
1.84200e+9	1.18480e-12
2.48333e+9	1.09112e-12
3.34787e+9	9.93303e-13
4.51307e+9	8.78492e-13
6.08380e+9	7.76952e-13
8.09065e+9	6.91830e-13
